recipe,calories,carbohydrate,sugar,protein,category,servings,high_traffic
256,866.33,45.08,7.74,64.46,One Dish Meal,1.0,0
257,682.73,31.36,5.7,3.58,Potato,2.0,1
258,575.07,69.94,1.18,1.8,Vegetable,1.0,1
259,125.95,7.85,5.38,0.83,Beverages,2.0,0
260,674.84,2.64,3.64,1.26,Vegetable,2.0,1
261,659.82,9.88,5.97,4.83,Breakfast,6.0,0
262,137.63,99.85000000000001,2.05,5.33,Potato,2.0,1
263,288.55,21.48,4.55,10.8,Chicken,4.0,0
264,462.41,3.49,6.71,0.93,Vegetable,6.0,1
265,362.89,34.63,1.2,7.48,Pork,2.0,1
266,626.61,10.72,4.47,5.9,Potato,1.0,1
267,436.03,7.66,21.965000000000003,23.03,Meat,4.0,1
268,1328.48,9.96,4.16,70.4,Pork,4.0,1
269,416.01,1.84,17.99,1.41,Pork,1.0,1
270,33.36,33.62,19.04,13.24,Breakfast,4.0,0
271,457.35,12.74,4.83,21.43,Chicken,4.0,1
272,435.94,58.65,21.965000000000003,11.18,Dessert,1.0,1
273,592.12,27.54,2.97,21.88,Lunch/Snacks,4.0,0
274,285.01,2.2,15.81,0.76,Beverages,4.0,0
275,858.67,5.07,7.47,1.84,Lunch/Snacks,1.0,1
276,597.55,19.65,6.19,6.63,Lunch/Snacks,6.0,1
277,0.76,1.9,3.76,0.05,Vegetable,2.0,1
278,452.39,89.19,3.73,18.72,One Dish Meal,4.0,0
279,288.55,21.48,4.55,10.8,Lunch/Snacks,4.0,1
280,400.37,23.75,2.21,8.54,Breakfast,2.0,0
281,288.55,21.48,4.55,10.8,Meat,1.0,1
282,409.99,13.61,1.96,8.77,Vegetable,4.0,1
283,31.65,5.42,6.69,13.25,Vegetable,6.0,1
284,114.74,32.69,10.02,70.70750000000001,Pork,6.0,1
285,70.81,27.0,11.18,0.21,Beverages,4.0,0
286,1328.48,75.43,17.09,0.36,Lunch/Snacks,1.0,1
287,12.97,28.68,11.74,0.61,Beverages,4.0,0
288,370.92,6.65,4.55,11.97,Lunch/Snacks,1.0,0
289,35.63,2.52,19.21,0.18,Beverages,1.0,0
290,223.01,25.99,7.52,11.69,Meat,4.0,1
291,239.9,51.13,21.965000000000003,3.38,Dessert,2.0,1
292,379.16,4.79,0.4,5.27,Chicken,4.0,0
293,1328.48,0.8,7.6,70.70750000000001,Chicken,1.0,1
294,410.92,23.17,1.04,19.34,Meat,6.0,0
295,242.1,6.68,0.25,29.82,Pork,4.0,1
296,158.46,20.62,6.3,4.75,Vegetable,2.0,1
297,487.86,99.85000000000001,5.21,1.09,Potato,6.0,1
298,288.55,21.48,4.55,10.8,Lunch/Snacks,6.0,0
299,25.91,0.82,3.3,44.76,Chicken,4.0,0
300,1277.97,4.15,0.29,7.64,Pork,1.0,1
301,84.27,5.07,8.97,0.38,Beverages,1.0,0
302,293.86,11.43,3.16,0.98,Vegetable,2.0,1
303,889.25,13.44,1.61,2.58,One Dish Meal,2.0,0
304,167.09,7.7,21.965000000000003,12.87,Dessert,6.0,0
305,179.45,15.19,2.23,2.53,Potato,1.0,1
306,649.83,21.64,1.69,0.13,Meat,2.0,1
307,1328.48,24.59,5.35,39.53,Meat,4.0,1
308,406.05,99.85000000000001,18.58,15.06,Breakfast,2.0,0
309,73.91,35.05,2.09,14.68,Vegetable,6.0,1
310,581.04,38.52,0.1,70.70750000000001,Chicken,1.0,1
311,908.63,42.53,1.21,46.13,Pork,4.0,1
312,491.01,33.94,6.08,5.45,Dessert,4.0,0
313,1053.21,12.03,16.64,4.92,One Dish Meal,2.0,1
314,87.17,13.21,0.39,70.70750000000001,Meat,4.0,0
315,135.76,21.48,7.94,7.3,Chicken,4.0,0
316,132.29,50.28,1.88,22.89,Breakfast,4.0,0
317,166.73,15.74,4.34,70.70750000000001,Meat,4.0,1
318,92.21,8.53,0.24,14.14,Lunch/Snacks,4.0,1
319,472.91,8.68,1.91,15.08,Meat,4.0,1
320,409.03,71.58,5.73,70.70750000000001,Chicken,2.0,1
321,31.75,16.71,1.02,23.14,Breakfast,1.0,0
322,76.21,91.25,6.12,3.27,Dessert,4.0,1
323,257.71,99.85000000000001,9.46,8.77,Breakfast,6.0,1
324,49.5,66.64,4.69,53.33,Breakfast,4.0,0
325,771.52,96.03,1.49,7.52,Dessert,4.0,1
326,718.34,16.61,8.54,4.52,Chicken,4.0,0
327,288.55,21.48,4.55,10.8,Potato,4.0,1
328,798.39,0.86,0.5,0.4,Vegetable,4.0,1
329,561.43,11.83,9.0,70.70750000000001,Pork,6.0,1
330,552.83,39.55,3.61,48.54,Potato,4.0,1
331,684.88,41.08,2.0,1.48,Beverages,2.0,0
332,970.22,99.85000000000001,1.8,6.44,Lunch/Snacks,2.0,1
333,20.81,33.92,5.44,18.54,Lunch/Snacks,4.0,1
334,561.44,43.26,0.14,70.70750000000001,Chicken,6.0,0
335,532.01,31.76,1.44,17.96,Lunch/Snacks,4.0,1
336,152.42,12.11,0.38,5.56,One Dish Meal,2.0,0
337,857.34,67.38,4.97,2.8,Dessert,4.0,0
338,138.11,3.7,5.24,63.56,Chicken,4.0,1
339,482.51,26.21,5.29,18.93,Potato,4.0,1
340,288.55,99.85000000000001,21.965000000000003,0.47,Dessert,4.0,0
341,1251.42,12.28,0.17,0.59,Lunch/Snacks,4.0,1
342,23.64,99.85000000000001,14.22,61.22,One Dish Meal,4.0,1
343,111.1,37.55,6.6,70.70750000000001,Lunch/Snacks,2.0,0
344,958.28,50.02,0.98,9.27,Breakfast,6.0,1
345,134.48,45.5,21.965000000000003,0.2,Chicken,4.0,0
346,187.46,47.62,16.3,70.70750000000001,Pork,1.0,1
347,110.69,58.8,21.965000000000003,1.23,Dessert,6.0,1
348,416.12,3.43,1.05,10.12,Chicken,6.0,1
349,1199.2,40.96,1.55,29.53,Pork,6.0,1
350,94.27,99.85000000000001,5.98,39.61,Potato,1.0,1
351,45.62,15.34,3.27,2.16,Breakfast,6.0,1
352,288.55,21.48,4.55,10.8,Potato,4.0,1
353,781.15,3.91,0.39,21.41,Pork,4.0,1
354,1045.21,5.12,1.79,70.69,Meat,4.0,0
355,288.55,21.48,4.55,10.8,Pork,4.0,1
356,1328.48,3.84,8.48,0.95,Vegetable,6.0,1
357,1328.48,4.5,4.16,31.19,One Dish Meal,4.0,1
358,259.36,20.05,3.45,70.70750000000001,Meat,4.0,1
359,231.2,15.18,6.96,70.70750000000001,Chicken,1.0,1
360,136.46,31.09,2.4,6.77,Potato,2.0,1
361,850.16,2.56,1.52,9.31,Lunch/Snacks,6.0,1
362,1007.85,3.43,5.78,59.23,Chicken,4.0,1
363,521.78,76.37,12.63,8.62,Potato,6.0,1
364,11.6,39.04,13.91,4.06,Dessert,4.0,0
365,268.04,77.7,2.43,0.88,Beverages,2.0,0
366,516.76,13.59,2.96,50.19,Chicken,4.0,0
367,34.97,16.88,4.54,14.04,Vegetable,4.0,1
368,123.02,99.85000000000001,16.0,8.14,Dessert,6.0,1
369,578.4,9.43,4.4,8.36,Chicken,1.0,1
370,199.54,9.1,8.17,10.1,Meat,6.0,1
371,1205.68,2.78,1.24,70.70750000000001,Meat,6.0,0
372,259.95,18.93,5.08,0.33,Vegetable,6.0,1
373,288.55,21.48,4.55,10.8,Vegetable,2.0,1
374,877.29,16.62,21.965000000000003,21.09,Pork,4.0,1
375,298.69,1.18,11.47,0.03,Beverages,6.0,0
376,265.71,11.68,11.7,0.79,Vegetable,2.0,1
377,288.55,21.48,4.55,10.8,Pork,6.0,1
378,182.21,11.66,0.91,70.70750000000001,Chicken,4.0,1
379,235.91,43.2,21.965000000000003,4.27,Dessert,1.0,1
380,75.89,22.51,8.18,17.64,Meat,6.0,1
381,434.29,64.57,2.91,7.16,Potato,2.0,1
382,1328.48,26.21,1.94,70.70750000000001,Chicken,4.0,0
383,275.96,29.94,13.22,7.49,Chicken,1.0,1
384,708.64,45.44,4.55,70.70750000000001,Chicken,6.0,1
385,338.74,70.14,0.58,13.36,Chicken,4.0,0
386,75.17,6.45,8.59,0.73,Beverages,2.0,1
387,90.01,60.18,15.52,17.64,Breakfast,4.0,0
388,2.14,20.11,0.16,1.42,Beverages,4.0,0
389,288.55,21.48,4.55,10.8,Lunch/Snacks,4.0,1
390,255.58,47.45,1.58,4.92,Vegetable,4.0,1
391,259.83,89.3,1.61,6.0,Breakfast,4.0,0
392,110.07,4.07,9.1,8.88,Potato,6.0,1
393,460.49,18.84,16.96,52.0,Chicken,4.0,0
394,46.66,4.7,13.11,35.28,Chicken,1.0,0
395,50.94,37.18,0.5,10.84,Breakfast,1.0,0
396,90.95,15.03,5.32,19.29,Breakfast,1.0,1
397,64.36,11.28,12.47,20.87,Potato,4.0,1
398,1328.48,2.46,2.12,69.62,Chicken,2.0,1
399,128.3,14.75,3.01,16.34,Pork,4.0,1
400,71.87,31.44,1.34,32.45,Chicken,2.0,0
401,338.71,59.94,12.26,30.72,Breakfast,4.0,0
402,633.87,16.11,2.47,7.25,Lunch/Snacks,6.0,0
403,291.64,2.12,21.965000000000003,11.05,Breakfast,6.0,0
404,126.96,19.11,18.17,0.18,Beverages,4.0,0
405,141.15,68.04,1.48,6.95,Meat,4.0,1
406,288.55,21.48,4.55,10.8,Vegetable,4.0,1
407,169.83,42.42,1.98,31.1,Meat,4.0,1
408,262.09,2.8,8.68,0.08,Beverages,6.0,0
409,1073.39,8.32,16.11,8.15,Lunch/Snacks,4.0,0
410,108.62,13.68,6.72,0.23,Beverages,2.0,0
411,378.65,38.0,5.39,24.04,Meat,6.0,0
412,617.5,14.68,9.88,3.12,Dessert,6.0,1
413,237.97,3.35,1.21,5.4,Vegetable,6.0,1
414,150.83,99.85000000000001,0.75,6.27,Potato,4.0,1
415,602.74,28.03,2.92,5.8,Breakfast,1.0,0
416,468.76,35.6,1.99,20.66,Meat,4.0,1
417,652.18,53.19,21.965000000000003,2.6,Breakfast,6.0,0
418,715.66,8.98,1.97,0.93,Vegetable,4.0,1
419,1328.48,3.92,1.83,44.74,Chicken,1.0,1
420,536.42,8.87,2.08,38.47,Chicken,4.0,1
421,94.04,5.17,0.68,0.01,Beverages,2.0,0
422,332.19,25.86,1.04,20.25,Meat,4.0,1
423,240.52,19.5,5.64,2.44,Pork,4.0,1
424,199.34,22.88,21.965000000000003,0.15,Beverages,2.0,0
425,76.28,99.85000000000001,0.41,17.79,Lunch/Snacks,4.0,1
426,1263.15,5.14,16.54,70.70750000000001,Meat,2.0,1
427,187.41,19.12,21.965000000000003,4.49,Dessert,6.0,0
428,288.55,21.48,4.55,10.8,Vegetable,4.0,1
429,1328.48,99.85000000000001,2.77,14.87,Meat,1.0,1
430,158.84,19.75,12.66,10.07,Breakfast,4.0,0
431,11.73,17.57,6.07,0.91,Beverages,4.0,0
432,402.0,47.57,0.36,0.02,Beverages,6.0,0
433,999.98,36.65,5.66,16.72,Chicken,4.0,1
434,48.93,65.68,1.62,9.55,Meat,4.0,1
435,310.52,12.54,3.21,1.6,Chicken,6.0,0
436,305.09,21.98,21.965000000000003,11.79,Lunch/Snacks,4.0,1
437,726.23,42.72,1.62,19.19,One Dish Meal,6.0,1
438,1328.48,13.49,4.79,1.9,Chicken,6.0,0
439,151.88,7.41,6.09,40.24,One Dish Meal,4.0,1
440,114.08,15.13,1.81,38.6,Chicken,1.0,1
441,295.62,22.47,21.965000000000003,7.76,Dessert,6.0,1
442,538.88,6.84,6.95,43.91,One Dish Meal,2.0,0
443,108.28,60.94,7.79,55.46,One Dish Meal,4.0,1
444,716.79,24.93,3.32,16.11,Meat,6.0,1
445,245.53,4.92,21.965000000000003,70.70750000000001,Chicken,6.0,0
446,374.35,15.19,9.22,2.49,Dessert,2.0,1
447,125.76,9.18,0.54,70.70750000000001,Chicken,2.0,1
448,452.51,2.86,9.5,16.78,Chicken,2.0,0
449,403.7,1.97,13.94,1.08,Breakfast,4.0,0
450,144.28,39.63,8.81,14.59,Pork,4.0,1
451,182.76,99.85000000000001,5.8,5.01,Potato,4.0,1
452,1328.48,14.73,5.71,29.92,Lunch/Snacks,4.0,1
453,361.17,21.52,3.38,19.22,Lunch/Snacks,6.0,0
